date,newCases,newDeaths
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0.571,0
2020-01-29,0.714,0
2020-01-30,0.714,0
2020-01-31,0.857,0
2020-02-01,0.857,0
2020-02-02,0.429,0
2020-02-03,0.857,0
2020-02-04,0.857,0
2020-02-05,0.714,0
2020-02-06,0.857,0
2020-02-07,0.571,0
2020-02-08,0.571,0
2020-02-09,0.571,0
2020-02-10,0.143,0
2020-02-11,0.286,0
2020-02-12,0.286,0
2020-02-13,0.286,0
2020-02-14,0.286,0
2020-02-15,0.286,0
2020-02-16,0.286,0
2020-02-17,0.286,0
2020-02-18,0.143,0
2020-02-19,0.143,0
2020-02-20,0,0
2020-02-21,0.286,0
2020-02-22,0.286,0
2020-02-23,0.286,0
2020-02-24,0.286,0
2020-02-25,0.286,0
2020-02-26,0.286,0
2020-02-27,0.429,0
2020-02-28,0.143,0
2020-02-29,1.286,0.143
2020-03-01,2.286,0.143
2020-03-02,5.571,0.857
2020-03-03,8.286,1
2020-03-04,13,1.571
2020-03-05,23.857,1.714
2020-03-06,31.429,2
2020-03-07,54,2.286
2020-03-08,69.571,2.857
2020-03-09,77,2.286
2020-03-10,101.143,3
2020-03-11,148.571,3.143
2020-03-12,200.286,4.429
2020-03-13,283.143,5.286
2020-03-14,367.857,5.857
2020-03-15,384.714,7
2020-03-16,583.571,10.714
2020-03-17,818.571,15.143
2020-03-18,1146,23
2020-03-19,1725.286,31.857
2020-03-20,2544.429,45.857
2020-03-21,3292.429,59.571
2020-03-22,4526.571,75.143
2020-03-23,5922.429,98.714
2020-03-24,7177.571,128.143
2020-03-25,8524,167.143
2020-03-26,10432.857,216.857
2020-03-27,12193.286,276.286
2020-03-28,14141.143,353.286
2020-03-29,15573.429,425.143
2020-03-30,17121.571,499.571
2020-03-31,19363.714,619.857
2020-04-01,22243.857,755.714
2020-04-02,24298,911.714
2020-04-03,26240.429,1041.429
2020-04-04,28067,1173.286
2020-04-05,29635.286,1314.571
2020-04-06,30964.714,1465.714
2020-04-07,31600.857,1679
2020-04-08,31450.714,1803.429
2020-04-09,31980.143,1902
2020-04-10,32284.143,2011.143
2020-04-11,31814.714,2091.571
2020-04-12,31440.143,2128.714
2020-04-13,30804.286,2163.286
2020-04-14,30520.571,2142.714
2020-04-15,29698.857,2207
2020-04-16,28855.143,2198.571
2020-04-17,28657.286,2186.429
2020-04-18,28486.143,2165.286
2020-04-19,28320.571,2179.143
2020-04-20,28734.571,2210.429
2020-04-21,28325.429,2222.143
2020-04-22,28813.857,2200.286
2020-04-23,29318.857,2245.714
2020-04-24,29218.429,2256.714
2020-04-25,29570.429,2218.143
2020-04-26,29628.286,2136.571
2020-04-27,28753.286,2033
2020-04-28,28561.857,1991.714
