date,women,men,black,white,hispanic
Jan 20,57.9,69.4,62.6,63.4,67.8
Feb 20,57.8,69.3,63.1,63.3,68.1
Mar 20,57.3,68.5,62,62.7,67.1
Apr 20,54.7,66.1,58.6,60.3,63.3
May 20,55.4,66.7,59.6,61,64.1
Jun 20,56.1,67.2,60,61.6,65.5
Jul 20,56,67.1,60.2,61.5,64.7
Aug 20,56.1,67.7,60.2,61.8,65.3
Sep 20,55.6,67.6,59.7,61.6,64.9
Oct 20,55.9,67.7,60.2,61.8,65.6
Nov 20,55.9,67.4,60.2,61.5,65.4
Dec 20,55.9,67.4,59.8,61.6,65.3
Jan 21,55.7,67.5,60.3,61.4,65
Feb 21,55.8,67.4,60.1,61.4,65.4
Mar 21,56.1,67.3,60.7,61.4,65.6
